Titre,Album,Année,Durée,Paroles,Compositeur,Auteur
Libertine,Cendres De Lune,1986,"3,46","Cendre de lune, petite bulle d'écume
Poussée par le vent je brûle et je m'enrhume
Entre mes dunes, reposent mes infortunes
C'est nue que j'apprends la vertu

Je je, suis libertine
Je suis une catin
Je je, suis si fragile
Qu'on me tienne la main

Fendre la lune, baisers d'épine et de plume
Bercée par un petit vent je déambule
La vie est triste comme un verre de grenadine
Aimer c'est pleurer quand on s'incline

Je je, suis libertine
Je suis une catin
Je je, suis si fragile
Qu'on me tienne la main

Quand sur ton corps, je m'endors
Je m'évapore, bébé tu dors et moi j'attends l'aurore
Quand de mes lèvres tu t'enlèves, un goût amer
Me rappelle que je suis au ciel

Cendre de lune, petite bulle d'écume
Perdue dans le vent je brûle et je m'enrhume
Mon corps a peur, la peau mouillée j'ai plus d'âme
Papa, ils ont violé mon cœur

Je je, suis libertine
Je suis une catin
Je je, suis si fragile
Qu'on me tienne la main...",Jean-Claude Dequéant,Laurent Boutonnat
Au bout de la nuit,Cendres De Lune,1986,"4,21","Beau
C'est si beau !
Ton corps
Glissant sur ma peau

Chaud
Que c'est chaud !
Ta bouche
Soufflant sur mes mots

Long
Oh, c'est long !
Le temps
Du dernier frisson

Froid
Qu'il est froid
Ce silence
Qui grelotte en moi

Au bout de la nuit
Sans vie, j'm'enfuis
Au bout de l'envie
Tout meurt sans cri

Chut !
Tout est vide
Tout est ride
Suicide

J't'aime
Oh, je t'aime
Sans toi
Il me reste quoi ?

Au bout de la nuit
Sans vie, j'm'enfuis
Au bout de l'envie
Tout meurt sans cri

J't'aime...",Laurent Boutonnat,Mylène
Vieux bouc,Cendres De Lune,1986,"5,37","Vieux bouc, je vous sens fébrile
Aimez-vous mon petit nombril ?
J'entends hurler dans le vent
Est-ce le cri d'un chien, d'un enfant ?

Vieux bouc, êtes-vous fragile
Aimez-vous mes cloches matines ?
L'hymen sera mon présent
Maintenant, j'ai l'enfer dans le sang

Ma petite âme est sale
Prends-la nue dans tes bras
Et je m'en irai loin, si loin, si loin
Loin de toi, vieux malin

Ma petite âme a mal
Prends-moi nue dans tes bras
Et on s'en ira loin, si loin, si loin
... vieux malin

Vieux bouc, c'est l'heure du baptème
Je vous aime devant l'éternel
Je sais, l'enfer c'est les autres
En ce monde, on est tous des vôtres

Ma p'tite âme est sale
Prends-la nue dans tes bras
Et je m'en irai loin, si loin, si loin
Loin de toi, vieux malin

Ma p'tite âme a mal
Prends-moi nue dans tes bras
Et on s'en ira loin, si loin, si loin
... vieux bouc... ",Laurent Boutonnat,Laurent Boutonnat
Tristana,Cendres De Lune,1986,"4,34","Triste elle est prête à tout
Pour rien, pour tout
Dans la ronde des fous elle pleure tout doux
L'amour a tué les mots qui la touchent, touchent
Contre ta bouche elle veut qu'on la couche

Triste elle fait la grimace,
Devant sa glace
D'un coup du cœur enlace l'ombre qui passe
Et rien jamais n'effacera les traces, lâches
Du sang qui coule des corps qui se cassent

Adieu Tristana
Ton cœur a pris froid
Adieu Tristana
Dieu baisse les bras
Laissez-la partir
Laissez-la mourir
Ne le dites pas
Tristana, c'est moi !

Triste sort Tristana
Tu sais, crois-moi
Trois petits tours, elle s'en va
La vie comme ça
Les plus beaux jours s'achèvent dans la peine, haine
Pourquoi faut-il payer de ses veines

Adieu Tristana
Ton cœur a pris froid
Adieu Tristana
Dieu baisse les bras
Laissez-la partir
Laissez-la mourir
Ne le dites pas
Tristana, c'est moi !",Laurent Boutonnat,Mylène
Chloé,Cendres De Lune,1986,"2,34","Eh, oh, ce matin
Y a Chloé qui s'est noyée
Dans l'eau du ruisseau
J'ai vu ses cheveux flotter
Là-bas sous les chênes
On aurait dit une fontaine
Quand Chloé a crié
Quand sa p'tite tête a cogné

La la la la la...

Chloé a coulé
C'est sûr qu'elle avait pas pied
Chloé ma moitié
Ce matin s'en est allée
Ton coeur petite soeur
Va sans doute devenir fleur
Sous les saules qui pleurent
L'eau est de toutes les couleurs

La la la la la...

Chloé si je pleure
Tu sais ça compte pour du beurre
Ton rire me fait peur
Est-ce que tu joues ou tu meurs ?
Adieu petite fée
Pendant longtemps j'ai appelé
Adieu à Chloé
Le courant l'a emportée

La la la la la...

Eh oh, ce matin
Y a Chloé qui s'est noyée
Dans l'eau du ruisseau
J'ai vu ses cheveux flotter
Là-bas sous les chênes
On aurait dit une fontaine
Quand Chloé a crié
Quand sa p'tite tête a cogné

La la la la la...

Chloé, pourquoi t'es partie
Chloé, Chloé...",Laurent Boutonnat,Mylène
Maman a tort ,Cendres De Lune,1986,"4,04","Un maman a tort
Deux c'est beau l'amour
Trois l'infirmière pleure
Quatre je l'aime
Cinq il est d'mon droit
Six de tout toucher
Sept j'm'arrête pas là
Huit j'm'amuse

Un quoiqu'maman dise
Deux elle m'oubliera
Trois les yeux mouillés
Quatre j'ai mal
Cinq je dis c'que j'veux
Six j'suis malheureuse
Sept j'pense pas souvent
Huit et vous ?

J'aime ce qu'on m'interdit
Les plaisirs impolis
J'aime quand elle me sourit
J'aime l'infirmière maman

Un j'suis très sereine
Deux et j'ai bien fait
Trois d'vous en parler
Quatre j'm'amuse
Cinq quoiqu'maman dise
Six elle était belle
Sept cette infirmière
Huit je l'aime

Un l'infirmière chante
Deux ça m'fait des choses
Trois comme l'alouette
Quatre j'ai peur
Cinq c'est dur la vie
Six pour un sourire
Sept j'en pleure la nuit
Huit et vous ?

J'aime ce qu'on m'interdit
Les plaisirs impolis
J'aime quand elle me sourit
J'aime l'infirmière maman

Un maman a tort
Deux c'est beau l'amour
Trois l'infirmière pleure
Quatre je l'aime
Cinq maman a tort
Six c'est beau l'amour
Sept à l'hôpital
Huit j'ai mal","Laurent Boutonnat, Jérôme Dahan",Mylène
We'll never die,Cendres De Lune,1986,"4,14","We'll never die !
We'll never die !
Tes pauvres mains tenues
Tu pries à corps perdu
We'll never die !

Ton sang lavera nos fronts
Les vautours t'embrasseront
We'll never die !

Petit garçon perdu
Te désert t'a déchu
We'll never die !

Ta vie n'est qu'un brin d'encens
Petite goutte de sang
We'll never die !

Gavroche ou bien bidoche
Rester en vie c'est moche
We'll never die !

Tu seras un ange là-bas
Au nom d'Allah, alléluia
We'll never die !

Dawn is breaking now!
How long does it take to die ?
We'll never die !
We'll never die !

Petit garçon foutu
Ce désert il t'a eu
We'll never die !

T'as fait la guerre pour ta mère
Elle t'a mis au monde en terre !
We'll never die !

Ta pauvre main tendue
Tu cries à corps perdu
Ton sang lavera nos fronts
Les vautours t'embrasseront

Dawn is breaking now !
How long does it take to die ?

We'll never die !
We'll never die !
We'll never die !...",Laurent Boutonnat ,Laurent Boutonnat
Greta,Cendres De Lune,1986,"4,46","Divine
Exquise et chagrine
De la vie, est orpheline

Enfantine
Reine et ruine
Maudit soient ceux qui t'ont prise

Greta rit, et moi je rougis
Greta tremble, la mort lui ressemble
Greta meurt, j'entends dieu qui pleure
Greta aime, divine infidèle
Baisers froids comme elle
Je l'aime

Divine
Fuir n'est pas facile
Quand la nuit vous a conquise

Tout est vide
Tu n'es plus
C'est ma vie, tu l'as perdue

Greta rit, et moi je rougis
Greta tremble, la mort lui ressemble
Greta meurt, j'entends dieu qui pleure
Greta aime, divine infidèle
Baisers froids comme elle
Je l'aime ",Laurent Boutonnat,Laurent Boutonnat
Plus grandir,Cendres De Lune,1986,"4,03","Petit rien, petit bout
De rien du tout
M´a mise tout sens dessus dessous
A pris ses jambes a son cou

Petit rien, petit bout
La vie s´en fout
Dans mes draps de papier tout déclavés
Mes baisers sont souillés

Plus grandir, j´veux plus grandir
Plus grandir pour pas mourir, pas souffrir
Plus grandir, j´veux plus grandir
Pour les pleurs d´une petite fille

Jeux de mains, jeux de fous
C´est pas pour nous
Suspendue au lit comme une poupée
Qu´on a désarticulée

Petit rien, petit bout
De rien du tout
Reviens dans mes images j´me suis perdue
Apres ... je n´sais plus !

Plus grandir, j´veux plus grandir
Plus grandir pour pas mourir, pas souffrir
Plus grandir, j´veux plus grandir
Pour les pleurs d´une petite fille",Laurent Boutonnat,Mylène
Cendres de lune,Cendres De Lune,1986,"1,47",,Laurent Boutonnat,Mylène
